Borough	Year	NTA Code	NTA Name	Population
Manhattan	2000	MN09	Morningside Heights	"54,208"
Manhattan	2000	MN11	Central Harlem South	"39,075"
Manhattan	2000	MN12	Upper West Side	"136,954"
Manhattan	2000	MN13	Hudson Yards-Chelsea-Flat Iron-Union Square	"55,839"
Manhattan	2000	MN14	Lincoln Square	"55,239"
Manhattan	2000	MN15	Clinton	"40,595"
Manhattan	2000	MN17	Midtown-Midtown South	"25,807"
Manhattan	2000	MN19	Turtle Bay-East Midtown	"49,737"
Manhattan	2000	MN20	Murray Hill-Kips Bay	"48,419"
Manhattan	2000	MN21	Gramercy	"26,184"
Manhattan	2000	MN22	East Village	"41,746"
Manhattan	2000	MN23	West Village	"68,483"
Manhattan	2000	MN24	SoHo-TriBeCa-Civic Center-Little Italy	"36,757"
Manhattan	2000	MN25	Battery Park City-Lower Manhattan	"20,088"
Manhattan	2000	MN27	Chinatown	"52,375"
Manhattan	2000	MN28	Lower East Side	"72,258"
Manhattan	2000	MN31	Lenox Hill-Roosevelt Island	"76,631"
Manhattan	2000	MN32	Yorkville	"76,768"
Manhattan	2000	MN33	East Harlem South	"56,899"
Manhattan	2000	MN34	East Harlem North	"57,148"
Manhattan	2000	MN35	Washington Heights North	"73,457"
Manhattan	2000	MN36	Washington Heights South	"93,671"
Manhattan	2000	MN40	Upper East Side-Carnegie Hill	"63,664"
Manhattan	2000	MN50	Stuyvesant Town-Cooper Village	"19,101"
Manhattan	2000	MN99	park-cemetery-etc-Manhattan	"1,662"
Queens	2000	QN01	South Jamaica	"35,181"
Queens	2000	QN02	Springfield Gardens North	"25,441"
Queens	2000	QN03	Springfield Gardens South-Brookville	"18,950"
Queens	2000	QN05	Rosedale	"25,502"
Queens	2000	QN06	Jamaica Estates-Holliswood	"26,061"
Queens	2000	QN07	Hollis	"20,747"
Queens	2000	QN08	St. Albans	"50,046"
Queens	2000	QN10	Breezy Point-Belle Harbor-Rockwy Prk-Broad Chnl	"26,711"
Queens	2000	QN12	Hammels-Arverne-Edgemere	"31,645"
Queens	2000	QN15	Far Rockaway-Bayswater	"48,344"
Queens	2000	QN17	Forest Hills	"85,046"
Queens	2000	QN18	Rego Park	"29,404"
Queens	2000	QN19	Glendale	"31,071"
Queens	2000	QN20	Ridgewood	"69,455"
Queens	2000	QN21	Middle Village	"37,629"
Queens	2000	QN22	Flushing	"69,362"
Queens	2000	QN23	College Point	"21,407"
Queens	2000	QN25	Corona	"52,082"
Queens	2000	QN26	North Corona	"47,156"
Queens	2000	QN27	East Elmhurst	"21,183"
Queens	2000	QN28	Jackson Heights	"113,327"
Queens	2000	QN29	Elmhurst	"87,972"
Queens	2000	QN30	Maspeth	"28,916"
Queens	2000	QN31	Hunters Point-Sunnyside-West Maspeth	"61,947"
Queens	2000	QN33	Cambria Heights	"20,944"
Queens	2000	QN34	Queens Village	"57,704"
Queens	2000	QN35	Briarwood-Jamaica Hills	"38,675"
Queens	2000	QN37	Kew Gardens Hills	"36,052"
Queens	2000	QN38	Pomonok-Flushing Heights-Hillcrest	"31,734"
Queens	2000	QN41	Fresh Meadows-Utopia	"17,373"
Queens	2000	QN42	Oakland Gardens	"27,873"
Queens	2000	QN43	Bellerose	"24,464"
Queens	2000	QN44	Glen Oaks-Floral Park-New Hyde Park	"22,426"
